NRO_REGISTRO,ART_INFRINGIDO,CODIGO_O_LEY,CONDUCTA,CONDUCTA_DESCRIPCION,V_FISICA,MODALIDAD_DE_LA_VIOLENCIA,NACIONALIDAD_ACUSADO/A,EDAD_ACUSADO/A AL MOMENTO DEL HECHO,NIVEL_INSTRUCCION_ACUSADO/A,NACIONALIDAD_DENUNCIANTE,EDAD_DENUNCIANTE_AL_MOMENTO_DEL_HECHO,FRECUENCIA_EPISODIOS,RELACION_Y_TIPO_ENTRE_ACUSADO/A_Y_DENUNCIANTE,HIJOS_HIJAS_EN_COMUN,MEDIDAD_DE_PROTECCION_VIGENTES_AL_MOMENTO_DEL_HECHO,"LUGAR_DEL_HECHO
",TIPO_DE_RESOLUCION,OBJETO_DE_LA_RESOLUCION,DETALLE,DECISION
0710bis,181_inc1,codigo_penal_de_la_nacion,usurpacion,por_despojo,no,domestica,argentina,s/d,s/d,argentina,s/d,primera_vez,ex_pareja,no,no,puerta_de_domicilio_particular,interlocutoria,medida_probatoria,allanamiento,no_hace_lugar
0715,181_inc1,codigo_penal_de_la_nacion,usurpacion,por_despojo,si,,s/d,s/d,s/d,s/d,s/d,habitual,vecino/a,no,no,en_domicilio_particular,interlocutoria,medida_probatoria,allanamiento,no_hace_lugar
0716,53bis_inc3,codigo_contravencional,maltrato,agravado_menor_de_edad,si,domestica,paraguaya,44,primario_incompleto,peruana,33,habitual,ex_pareja,si,no,en_domicilio_particular,definitiva,prescripcion,extincion_accion_sobreseimiento,hace_lugar
0719,52,codigo_contravencional,hostigamiento,no_corresponde,no,domestica,argentina,38,secundario_completo,argentina,33,primera_vez,ex_pareja,si,no,puerta_de_domicilio_particular,interlocutoria,excepcion,falta_de_accion,no_hace_lugar
0745,149bis,codigo_penal_de_la_nacion,amenazas,simples,si,domestica,argentina,49,primario_completo,argentina,s/d,habitual,ex_pareja,si,no,en_domicilio_particular,definitiva,suspension_del_proceso_a_prueba,extincion_accion_sobreseimiento,hace_lugar
0747,149bis,codigo_penal_de_la_nacion,amenazas,agravadas_por_uso_de_armas,si,domestica,paraguaya,45,primario_completo,s/d,s/d,habitual,ex_pareja,si,si,en_domicilio_particular,interlocutoria,suspension_del_proceso_a_prueba,admisibilidad,hace_lugar
0755,1,ley_13944,incumplimiento_deberes_familiares,no_corresponde,si,domestica,paraguaya,44,primario_incompleto,peruana,33,habitual,ex_pareja,si,no,en_domicilio_particular,interlocutoria,nulidad,parcial_requerimiento_de_juicio,hace_lugar
0759,149bis,codigo_penal_de_la_nacion,amenazas,simples,si,domestica,paraguaya,44,primario_incompleto,peruana,33,habitual,ex_pareja,si,no,en_domicilio_particular,interlocutoria,nulidad,parcial_requerimiento_de_juicio,hace_lugar
0763bis,149bis,codigo_penal_de_la_nacion,amenazas,simples,no,domestica,argentina,32,secundario_incompleto,argentina,36,habitual,ex_pareja,si,no,mediante_medios_tecnológicos,interlocutoria,nulidad,requerimiento_de_juicio,hace_lugar
0764,149bis,codigo_penal_de_la_nacion,amenazas,simples,si,domestica,argentina,38,primario_completo,paraguaya,39,habitual,pareja,si,no,en_domicilio_particular,interlocutoria,cuestion_de_competencia,incompetencia_en_razon_de_materia,no_hace_lugar
0771,149bis,codigo_penal_de_la_nacion,amenazas,simples,si,domestica,argentina,25,secundario_incompleto,paraguaya,42,eventual,ex_pareja,no,no,en_domicilio_particular,interlocutoria,cuestion_de_competencia,incompetencia_en_razon_de_materia,no_hace_lugar
0772,52,codigo_contravencional,hostigamiento,no_corresponde,si,domestica,argentina,24,secundario_completo,peruana,22,primera_vez,ex_pareja,si,no,en_domicilio_laboral,interlocutoria,ejecucion_de_la_pena,prorroga,hace_lugar
0781,149bis,codigo_penal_de_la_nacion,amenazas,simples,no,domestica,argentina,39,secundario_incompleto,argentina,35,esporadico,ex_pareja,si,no,mediante_medios_tecnológicos,definitiva,desistimiento_fiscal,absolucion,hace_lugar
0797,149bis,codigo_penal_de_la_nacion,amenazas,simples,si,domestica,argentina,38,secundario_incompleto,argentina,57,habitual,familiar,no,no,en_domicilio_particular_y_mediante_medios_tecnologicos,interlocutoria,suspension_del_proceso_a_prueba,admisibilidad,hace_lugar
0799,149bis,codigo_penal_de_la_nacion,amenazas,simples,si,domestica,peruana,48,s/d,peruana,42,eventual,ex_pareja,no,no,mediante_medios_tecnológicos,interlocutoria,cuestion_de_competencia,incompetencia_en_razon_de_conexidad,hace_lugar
10,92,codigo_penal_de_la_nacion,lesiones,leves_agravadas,si,domestica,argentina,46,universitario_incompleto,argentina,17,primera_vez,familiar,no,no,en_domicilio_particular,interlocutoria,nulidad,audiencia_art_161_cppcaba,no_hace_lugar
1000,183,codigo_penal_de_la_nacion,daños,no_corresponde,si,domestica,argentina,32,secundario_incompleto,argentina,30,habitual,ex_pareja,si,si,en_domicilio_particular,interlocutoria,cuestion_de_competencia,inhibitoria_por_conexidad,hace_lugar
1005,149bis,codigo_penal_de_la_nacion,amenazas,simples,no,domestica,argentina,55,s/d,argentina,40,esporadico,pareja,no,no,en_domicilio_particular,interlocutoria,suspension_del_proceso_a_prueba,eximicion_pauta_de_conducta,hace_lugar
1007,1,ley_13944,incumplimiento_deberes_familiares,no_corresponde,si,domestica,peruana,39,secundario_incompleto,peruana,33,habitual,ex_pareja,si,no,en_domicilio_particular,definitiva,ejecucion_de_la_pena,cumplimiento_de_reglas_de_conducta,hace_lugar
1013,1,ley_13944,incumplimiento_deberes_familiares,no_corresponde,no,domestica,argentina,29,primario_completo,argentina,23,habitual,ex_pareja,si,no,en_domicilio_particular,interlocutoria,suspension_del_proceso_a_prueba,revoca,hace_lugar
1015,149bis,codigo_penal_de_la_nacion,amenazas,simples,no,domestica,argentina,34,universitario_incompleto,argentina,34,esporadico,ex_pareja,no,no,mediante_medios_tecnológicos,interlocutoria,cuestion_de_competencia,incompetencia_en_razon_de_materia,hace_lugar
1016,149bis,codigo_penal_de_la_nacion,amenazas,simples,no,,argentina,60,s/d,argentina,54,habitual,compañero/a_de_trabajo,no,no,via_publica,interlocutoria,medida_probatoria,allanamiento,no_hace_lugar
1017,65bis,codigo_contravencional,acoso_sexual_callejero,no_corresponde,no,,argentina,26,terciario_completo,argentina,17,primera_vez,ninguna,no,no,en_una_institucion_educativa,interlocutoria,camara_gesell,,hace_lugar
1018,149bis,codigo_penal_de_la_nacion,amenazas,simples,no,,argentina,62,primario_incompleto,paraguaya,32,esporadico,ninguna,no,no,via_publica,definitiva,archivo,convalida_inimputabilidad,hace_lugar
1019,149bis,codigo_penal_de_la_nacion,amenazas,simples,si,domestica,argentina,40,primario_completo,argentina,36,habitual,ex_pareja,si,no,en_domicilio_particular,definitiva,juicio_oral,pena_de_prision_efectivo_cumplimiento,hace_lugar
1021,149bis,codigo_penal_de_la_nacion,amenazas,simples,no,domestica,argentina,s/d,secundario_completo,argentina,s/d,habitual,ex_pareja,si,no,mediante_medios_tecnológicos,definitiva,suspension_del_proceso_a_prueba,extincion_accion_sobreseimiento,hace_lugar
1024,52,codigo_contravencional,hostigamiento,no_corresponde,si,domestica,argentina,36,universitario_incompleto,argentina,33,esporadico,ex_pareja,si,no,en_domicilio_particular_y_mediante_medios_tecnologicos,definitiva,mediacion,extincion_accion_por_autocomposicion,hace_lugar
1032,1,ley_13944,incumplimiento_deberes_familiares,no_corresponde,no,domestica,argentina,26,secundario_completo,argentina,32,habitual,ex_pareja,si,no,en_domicilio_particular,definitiva,suspension_del_proceso_a_prueba,extincion_accion_sobreseimiento,hace_lugar
1033,149bis,codigo_penal_de_la_nacion,amenazas,agravadas_por_uso_de_armas,si,domestica,argentina,25,secundario_completo,argentina,s/d,eventual,ex_pareja,no,no,en_domicilio_particular_y_mediante_medios_tecnologicos,interlocutoria,salidas_extraordinarias,,hace_lugar
1036,149bis,codigo_penal_de_la_nacion,amenazas,simples,si,domestica,argentina,20,s/d,argentina,19,primera_vez,pareja,si,no,en_domicilio_particular,definitiva,prescripcion,extincion_accion_sobreseimiento,hace_lugar
1037,52,codigo_contravencional,hostigamiento,no_corresponde,no,domestica,argentina,32,secundario_completo,argentina,34,habitual,ex_pareja,no,no,en_domicilio_particular_y_mediante_medios_tecnologicos,definitiva,suspension_del_proceso_a_prueba,extincion_accion_sobreseimiento,hace_lugar
1038,149bis,codigo_penal_de_la_nacion,amenazas,simples,no,domestica,argentina,45,universitario_completo,argentina,25,esporadico,ex_pareja,si,no,en_domicilio_particular,interlocutoria,suspension_del_proceso_a_prueba,modifica_pauta_de_conducta,no_hace_lugar
