NRO_REGISTRO,CODIGO_O_LEY,NACIONALIDAD_ACUSADO/A,EDAD_ACUSADO/A AL MOMENTO DEL HECHO,"LUGAR_DEL_HECHO
",TIPO_DE_RESOLUCION,OBJETO_DE_LA_RESOLUCION,DECISION
0708,codigo_penal_de_la_nacion,s/d,s/d,mediante_medios_tecnológicos,interlocutoria,cuestion_de_competencia,hace_lugar
0709,otros,s/d,s/d,en_domicilio_laboral,definitiva,medida_probatoria,no_hace_lugar
0710,otros,s/d,s/d,en_domicilio_laboral,definitiva,medida_probatoria,no_hace_lugar
0711,codigo_contravencional,argentina,50_o_mas,en_domicilio_laboral,interlocutoria,medida_cautelar,no_hace_lugar
0711bis,codigo_penal_de_la_nacion,argentina,entre_18_30,mediante_medios_tecnológicos,interlocutoria,cuestion_de_competencia,no_hace_lugar
0712,codigo_penal_de_la_nacion,argentina,entre_18_30,via_publica,interlocutoria,otros,hace_lugar
0713,otros,s/d,s/d,s/d,interlocutoria,cuestion_de_competencia,hace_lugar
0714,codigo_contravencional,argentina,entre_30_40,en_domicilio_laboral,interlocutoria,otros,hace_lugar
0717,codigo_contravencional,s/d,s/d,en_domicilio_laboral,interlocutoria,otros,hace_lugar
0718,codigo_penal_de_la_nacion,argentina,s/d,en_domicilio_particular,interlocutoria,cuestion_de_competencia,no_hace_lugar
0720,codigo_contravencional,otros,entre_18_30,via_publica,interlocutoria,medida_cautelar,hace_lugar
0721,codigo_contravencional,argentina,entre_30_40,en_domicilio_laboral,definitiva,suspension_del_proceso_a_prueba,hace_lugar
0722,codigo_contravencional,otros,entre_18_30,en_domicilio_laboral,definitiva,suspension_del_proceso_a_prueba,hace_lugar
0723,codigo_penal_de_la_nacion,argentina,entre_18_30,mediante_medios_tecnológicos,interlocutoria,cuestion_de_competencia,no_hace_lugar
0723bis,codigo_contravencional,argentina,entre_40_50,en_domicilio_particular,definitiva,otros,hace_lugar
0724,codigo_contravencional,otros,entre_40_50,en_domicilio_laboral,definitiva,suspension_del_proceso_a_prueba,hace_lugar
0725,codigo_penal_de_la_nacion,s/d,s/d,mediante_medios_tecnológicos,interlocutoria,medida_probatoria,hace_lugar
0726,codigo_contravencional,argentina,entre_18_30,via_publica,interlocutoria,suspension_del_proceso_a_prueba,hace_lugar
0727,codigo_contravencional,s/d,s/d,mediante_medios_tecnológicos,interlocutoria,medida_probatoria,hace_lugar
0728,codigo_penal_de_la_nacion,argentina,entre_40_50,otros,interlocutoria,cuestion_de_competencia,no_hace_lugar
0729,codigo_penal_de_la_nacion,s/d,s/d,mediante_medios_tecnológicos,interlocutoria,medida_probatoria,hace_lugar
0730,codigo_contravencional,otros,entre_40_50,en_domicilio_laboral,interlocutoria,suspension_del_proceso_a_prueba,hace_lugar
0731,otros,s/d,s/d,s/d,definitiva,otros,hace_lugar
0732,codigo_contravencional,otros,50_o_mas,via_publica,interlocutoria,cuestion_de_competencia,hace_lugar
0733,codigo_penal_de_la_nacion,argentina,entre_18_30,otros,definitiva,otros,hace_lugar
0734,codigo_contravencional,argentina,entre_18_30,en_domicilio_particular,definitiva,suspension_del_proceso_a_prueba,hace_lugar
0735,codigo_contravencional,argentina,50_o_mas,en_domicilio_laboral,definitiva,otros,hace_lugar
0736,codigo_contravencional,argentina,entre_30_40,via_publica,interlocutoria,otros,hace_lugar
0737,codigo_penal_de_la_nacion,s/d,s/d,mediante_medios_tecnológicos,interlocutoria,medida_probatoria,hace_lugar
0738,codigo_contravencional,argentina,50_o_mas,en_domicilio_laboral,interlocutoria,suspension_del_proceso_a_prueba,hace_lugar
0739,otros,s/d,s/d,s/d,definitiva,otros,hace_lugar
0740,codigo_contravencional,argentina,entre_30_40,en_domicilio_laboral,definitiva,suspension_del_proceso_a_prueba,hace_lugar
0741,codigo_contravencional,argentina,entre_18_30,via_publica,definitiva,suspension_del_proceso_a_prueba,hace_lugar
0742,codigo_contravencional,argentina,50_o_mas,en_domicilio_laboral,definitiva,suspension_del_proceso_a_prueba,hace_lugar
0743,codigo_penal_de_la_nacion,argentina,entre_40_50,otros,interlocutoria,suspension_del_proceso_a_prueba,hace_lugar
0744,codigo_contravencional,argentina,entre_30_40,en_domicilio_laboral,definitiva,otros,hace_lugar
0746,otros,s/d,s/d,s/d,interlocutoria,otros,no_hace_lugar
0748,codigo_penal_de_la_nacion,argentina,entre_40_50,via_publica,interlocutoria,suspension_del_proceso_a_prueba,hace_lugar
0749,codigo_contravencional,otros,entre_18_30,en_domicilio_laboral,interlocutoria,suspension_del_proceso_a_prueba,hace_lugar
0750,codigo_contravencional,argentina,50_o_mas,via_publica,interlocutoria,medida_cautelar,hace_lugar
0751,codigo_contravencional,argentina,50_o_mas,en_domicilio_laboral,interlocutoria,medida_probatoria,no_hace_lugar
0752,codigo_penal_de_la_nacion,s/d,s/d,mediante_medios_tecnológicos,interlocutoria,medida_probatoria,hace_lugar
0752bis,codigo_penal_de_la_nacion,otros,entre_40_50,via_publica,interlocutoria,medida_cautelar,hace_lugar
0753,ley_451,argentina,entre_30_40,en_domicilio_laboral,definitiva,otros,hace_lugar
0754,ley_451,argentina,50_o_mas,via_publica,definitiva,otros,hace_lugar
0756,codigo_contravencional,otros,entre_30_40,via_publica,definitiva,juicio_abreviado,hace_lugar
0757,codigo_penal_de_la_nacion,argentina,s/d,via_publica,interlocutoria,cuestion_de_competencia,no_hace_lugar
